Store No  |Bin No|Item No   |Item Desc                                         |UOM   |Item Cat      |Item Cat Desc                                     |Item Sub Cat                                                                        |Item Sub Cat Desc                                 |On Hand Qty      |Unit Price      |On Hand Value    
MAIN STORE|NONE  |209805    |POLES CONCRETE 9METERS                            |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000014.000| 00007200.00000 | 000000100800.00 
MAIN STORE|NONE  |209813    |POLES CONCRETE 11 METERS                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |209821    |POLES CONCRETE 9 METER CAST                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000026.000| 00005400.00000 | 000000140400.00 
MAIN STORE|NONE  |209848    |POLES CONCRETE 11 METER CAST                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000026.000| 00009000.00000 | 000000234000.00 
MAIN STORE|NONE  |209856    |POLES CONCRETE 7 METERS CAST                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000010.000| 00003600.00000 | 000000036000.00 
MAIN STORE|209857|209857    |POLES  11 METER                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000138.000| 00004200.00000 | 000000579600.00 
MAIN STORE|NONE  |209872    |POLES STEEL 6M M/H1.5M S/O                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|209873    |POLE STEEL 9METER                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000043.000| 00006360.00000 | 000000273480.00 
MAIN STORE|00NONE|209899    |POLES 7MX1.5M STEEL POLE                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000031.000| 00005520.00000 | 000000171120.00 
MAIN STORE|NONE  |209996    |POLES STEEL 12.5M                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210005    |PRE-PAID METERS THREE PHASE                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210006    |THREE PHASE SPLIT-PRE-PAIMETER                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000300.000| 00003049.13000 | 000000914739.00 
MAIN STORE|NONE  |210099    |POLES STEEL 10M M/H1.5M S/O                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210100    |POLE STEEL POST TOPS/D SPIGOT                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|210102    |POLES STEEL 11 METERS                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000083.000| 00006720.00000 | 000000557760.00 
MAIN STORE|00NONE|210285    |POLES 11 METERS                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|210293    |POLES                                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|210322    |TAPE NR 23 24MMX9M 3M SCOTCH                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000315.000| 00000174.00000 | 000000054810.00 
MAIN STORE|00NONE|210323    |PUTTY SCOTCHFILL 3M                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210374    |RODS STAY 8' X 3/4 C/W BASE                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210375    |STAY ROD PLATE                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210447    |SWITCHGEAR G/NN END CAPS & JOI                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000002.000| 00012593.75000 | 000000025187.50 
MAIN STORE|NONE  |210471    |RIPPLE CONTROLS                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000001153.000| 00001545.41755 | 000001781866.44 
MAIN STORE|NONE  |210498    |SWITCHES FOR RIPPLE CONTROL 32                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210587    |RIPPLE CONTROLS 4 CHANNELS                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |210676    |RESIN SIZE C 3M SCOTCHCAST                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|210978    |SLEEVES 35 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000002129.000| 00000005.40000 | 000000011496.60 
MAIN STORE|00NONE|211028    |SLEEVES SPLIT 50MM                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000002252.000| 00000010.20000 | 000000022970.40 
MAIN STORE|NONE  |211079    |SLEEVES 70 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00000012.60000 | 000000000012.60 
MAIN STORE|00NONE|211117    |SLEEVES 95 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000002394.000| 00000021.60000 | 000000051710.40 
MAIN STORE|NONE  |211168    |SLEEVES 150 MM                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211206    |SLEEVES 1.5 MM                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211257    |SLEEVES 4 MM                                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211303    |SLEEVES SPLIT 70 MM                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|211311    |SLEEVES 120MM COPPER/185 ALLUM                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000001740.000| 00000033.60000 | 000000058464.00 
MAIN STORE|NONE  |211354    |SLEEVES SPLIT 185 MM                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00000014.75000 | 000000000014.75 
MAIN STORE|NONE  |211419    |SLEEVES SPLIT 240 MM                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000008.000| 00000035.01875 | 000000000280.15 
MAIN STORE|NONE  |211451    |SLEEVES SPLIT 95 MM                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211508    |SLEEVES T 16 MM                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211559    |SLEEVES 16 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|211591    |SLEEVES 25 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000005443.000| 00000004.80000 | 000000026126.40 
MAIN STORE|NONE  |211648    |SLEEVES 120 MM                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211699    |SOLDER                                            |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211745    |SOLDER ALCO P                                     |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211842    |SOLDER 250 GRADE CODE 12 ALUMI                    |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |211907    |STARTERS FLUORESCENT C.M.U.                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000001498.000| 00000006.00000 | 000000008988.00 
MAIN STORE|00NONE|211931    |STRAPPING REELS 20 MM                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000018.000| 00000469.20000 | 000000008445.60 
MAIN STORE|NONE  |211982    |STRAPPING SEAL BUCKELS                            |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000019.000| 00000204.00000 | 000000003876.00 
MAIN STORE|NONE  |212032    |SWITCHES ONE LEVER INDUSTRIAL                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000032.000| 00000019.90344 | 000000000636.91 
MAIN STORE|NONE  |212059    |SWITCH GEAR K14 RANGE INDOOR/O                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212066    |fish eye day light switch                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212067    |SWITCH PHOTO ELECTRIC FOR AUTO                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|212068    |SWITCH PHOTO ELEC BC TYPE                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000649.000| 00000264.00000 | 000000171336.00 
MAIN STORE|NONE  |212083    |SWITCHES15A DOUBLE WALL                           |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212084    |SWITCHES SINGLE WALL PLUGS 15A                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212170    |TAPE THREADED                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212171    |TAPE BARRIER 75X500M                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000062.000| 00000119.00000 | 000000007378.00 
MAIN STORE|NONE  |212172    |TAPE LASSO 20 MM                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000599.000| 00000026.40000 | 000000015813.60 
MAIN STORE|NONE  |212288    |TAPE 1 1/2_36MMX30 BLACK                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212334    |TAPE NO. 13                                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212369    |KITS 16-95\120-240 FOR TERMIN.                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212377    |TERMINATION 50-95MM OUTDOOR                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00001620.00000 | 000000001620.00 
MAIN STORE|00NONE|212384    |TERMINATION KITS 16-35MMO/D                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000084.000| 00001043.47821 | 000000087652.17 
MAIN STORE|NONE  |212385    |TERMINATION 16-25MM INDOOR                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000022.000| 00001140.00000 | 000000025080.00 
MAIN STORE|00NONE|212393    |TERMINATION 35-70MM INDOOR                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000101.000| 00001853.71277 | 000000187224.99 
MAIN STORE|00NONE|212407    |TERMINATIONS  95-240 MM_INDOOR                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000094.000| 00001217.39138 | 000000114434.79 
MAIN STORE|NONE  |212408    |TERMINATION KITS 95-120mmO/D                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212415    |TERMINATIONS 300-400MM INDOOR                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212539    |TAPE LINEN  1                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|212687    |TAPE COLOURED                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000003173.000| 00000026.40000 | 000000083767.20 
MAIN STORE|NONE  |212725    |TAPE SPASER P3                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212733    |TRANSFORMER 500 KVA                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000001.000| 00206588.38000 | 000000206588.38 
MAIN STORE|NONE  |212741    |TRANSFORMER 50 KVA                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212742    |TRANSFORMER 50 KVA /6.6KVA                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000017.000| 00036156.50000 | 000000614660.50 
MAIN STORE|NONE  |212768    |TRANSFORMER 400 KVA                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212769    |TRANSFORMER 500KVA/6.6KVA                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212776    |TRANSFO CUR.100/5 150/5 200/5                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212784    |TRANSFORMERS 630 KVA                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212785    |TRANSFORMER 630KVA/6.6KVA                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212792    |TRANSFORMERS 100 KVA                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212793    |TRANSFORMER 100 KVA 6.6KVA                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000004.000| 00038795.00000 | 000000155180.00 
MAIN STORE|NONE  |212806    |TRANSFORMERS 800 KVA                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212814    |TRANSFORMERS CURRENT 250/5                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212822    |TRANSFORMERS 315 KVA                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000002.000| 00164331.67000 | 000000328663.34 
MAIN STORE|NONE  |212823    |TRANSFORMER 315KVA/6.6KVA                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212849    |TRANSFORMERS 300 KVA                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212857    |TRANSFORMER 200 KVA                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000004.000| 00120509.89000 | 000000482039.56 
MAIN STORE|NONE  |212858    |TRANSFORMER 200KVA /6.6KVA                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212865    |TRANSFORMERS CURRENT 300/5                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212873    |TRANSFORMER 25KVA                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212903    |TRANSFORMER 1200KVA                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000003.000| 00098791.12000 | 000000296373.36 
MAIN STORE|NONE  |212904    |TRANSFORMER 1200 KVA/6.6                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |212962    |TRANSFORMER CURRENT 600/5                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213012    |TRANSFORMER CURRENT 750/5 + 80                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213128    |TRANSFORMER CURRENT 500/5                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213217    |TRANSFORMERS CURRENT 1000/5/5C                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213241    |WASHERS CURVED                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213268    |WIRE BINDING 16 AND 18 GAUGE                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213276    |WRAPLOCK TIES                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213306    |WIRE BINDING 18 GAUGE                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213609    |WIRE COPPER BARE 70MM                             |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213610    |COPPER BARE HARD DRAWN 70MM                       |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213616    |WIRE EARTH PVC 35 MM GREEN/YEL                    |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213624    |WIRE COPPER BARE 25 MM                            |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213632    |WIRE COPPER BARE 35 MM                            |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213633    |COPPER BARE HARD DRAWN 35MM                       |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|213691    |WIRE PVC 1.5 MM(RED & BLACK)                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213747    |WIRE PVC 2.5 MM_RED& BLACK                        |EACH  |GEN           |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213748    |WIRE PVC 4 MM                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000038.000| 00001320.00000 | 000000050160.00 
MAIN STORE|NONE  |213845    |WIRE PVC 10 MM_RED& BLACK                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000002.000| 00003000.00000 | 000000006000.00 
MAIN STORE|NONE  |213853    |WIRE COPPER BARE 16MM                             |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213854    |WIRE COPPER BARE 16MM                             |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |213888    |WIRE ALM BUNDLED CONDUCTORS 3X                    |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|213977    |MINK STEELCOREHARD-DRAWNALCOND                    |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|213993    |WIRE STEEL STAY 7/16                              |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000006000.000| 00000036.00000 | 000000216000.00 
MAIN STORE|NONE  |214043    |WIPING METAL                                      |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000080.000| 00000002.47750 | 000000000198.20 
MAIN STORE|NONE  |214108    |SWITCHGEAR SECOND HAND                            |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214116    |CABLE 1.5 X 2 CORE                                |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214117    |CABLE 1.5X12 CORE PVC-SWA600/                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214124    |CABLE 3 X 16 COPPER PILC H.T.                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214132    |CABLE 3 X 35 COPPERPILC H.T.                      |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214133    |CABLE 3X35 COPPER SWA 6.6KVPVC                    |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214134    |CABLE 3X25MM COPPER PILC 11KV                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214159    |CABLE 3 X 50 COPPER PILC H.T.                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000027.000| 00000654.50000 | 000000017671.50 
MAIN STORE|NONE  |214167    |CABLE 3 X 70 COPPER PILC H.t.                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214175    |CABLE 3 X 120 COPPER XPLE                         |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214191    |CABLE 1.5MM X 7 CORE PVC                          |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214204    |CABLE 3X95 PILC HT COPPER                         |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|214205    |CABLE 3 X 95 XLPE 11KV                            |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214221    |CABLE 3 X 50 COPPER XLPE H.T.                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214248    |CABLE STREETLIGHT XLPE 2 CORE                     |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |214256    |CABLE 3X300MM  PILC                               |METER |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000517.000| 00002138.18000 | 000001105439.06 
