Store No  |Bin No|Item No   |Item Desc                                         |UOM   |Item Cat      |Item Cat Desc                                     |Item Sub Cat                                                                        |Item Sub Cat Desc                                 |On Hand Qty      |Unit Price      |On Hand Value    
MAIN STORE|NONE  |200581    |BOXES POLE MOUNTED                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200602    |BRACKET STRUT                                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200603    |BRACKETS   L  SHAPE FOR P                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200697    |BOXES DIST.3 WAY                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200743    |BOXES DIST.4_WAY                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200808    |BOXES DISTR. 12 WAY                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000003.000| 00003280.95000 | 000000009842.85 
MAIN STORE|NONE  |200816    |BOXES DIST. 6 WAY                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200824    |BOXES BUNDLE 9 WAY YORK                           |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200825    |BOXES YORK 4WAY C/W3LIVE TAILS                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200832    |BOXES 2 WAY                                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
