supplier_name,date,inv_reference,chq_reference,inv_ref_normalized,amount,inv_has_grn_match,chq_matches_voucher,chq_matches_invno,grn_match_count,grn_voucher,grn_supplier
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-18,1019605,42710,1019605,2918.01,True,False,False,1,INVI007163,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-24,1019651,43410,1019651,2410.1,True,False,False,1,INVI007178,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-06-05,1019882,44056,1019882,3980.16,True,False,False,1,INVI007270,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-02,1020435,46949,1020435,9500.38,True,False,False,1,INVI007517,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-03,1020463,47024,1020463,86503.46,True,False,False,1,INVI007534,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-04,1020475,47025,1020475,37141.48,True,False,False,1,INVI007546,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-09,1020481,47391,1020481,3640.14,True,False,False,1,INVI007551,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-03-06,1021297,51642,1021297,5190.2,True,False,False,1,INVI007965,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-04-09,1021461,52423,1021461,15200.61,True,False,False,1,INVI008044,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-06-12,1021889,54652,1021889,5100.2,True,False,False,1,INVI008223,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-06-26,1022010,55083,1022010,2590.1,True,False,False,1,INVI008285,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-03-26,1021411,52362,1021411,6900.0,True,False,False,1,INVI008026,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION
KLERKSDORP RECORD,2024-07-04,1020276,44983,1020276,27627.6,True,False,False,1,INVI007432,KLERKSDORP RECORD
