hr185_reference,hr185_reference_normalized,supplier_code,supplier_name,transaction_date,transaction_type,amount,has_direct_grn_match,grn_match_type,grn_match_count,linking_method,has_inherited_grn_match,match_notes,grn_voucher,grn_inv_no,grn_supplier,paired_inv_reference
0001016538,1016538,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016538.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016539,1016539,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1035.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016539.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016540,1016540,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,3970.16,True,direct,1,standard,False,Invoice transaction,INVI005933,1016540.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016541,1016541,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,7970.32,True,direct,1,standard,False,Invoice transaction,INVI005933,1016541.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016542,1016542,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,218.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016542.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016543,1016543,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,281.75,True,direct,1,standard,False,Invoice transaction,INVI005933,1016543.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016544,1016544,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,13617.05,True,direct,1,standard,False,Invoice transaction,INVI005933,1016544.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016545,1016545,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1035.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016545.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016546,1016546,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,8530.34,True,direct,1,standard,False,Invoice transaction,INVI005933,1016546.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016548,1016548,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,4370.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016548.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
