source_file,page_number,supplier_code,supplier_name,transaction_date,transaction_type,reference,amount,additional_info,document_type,report_period,file_type,report_period_start,report_period_end,original_report_period,reference_normalized
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,0001016119,1480.06,213039,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016119
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,0001016120,4970.32,213040,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016120
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,CHQ,32195,21183.12,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,32195
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-10,INV,0001016299,1400.06,213248,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016299
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-10,INV,0001016300,1311.0,213870,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016300
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016354,2455.1,210514,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016354
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016355,172.5,210515,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016355
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016356,172.5,210516,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016356
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016357,4110.01,210517,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016357
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016358,2455.1,210518,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016358
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016359,172.5,210519,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016359
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016360,172.5,210520,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016360
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016361,1633.0,210521,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016361
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016362,287.5,210522,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016362
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016363,517.5,210523,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016363
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016364,1035.0,210524,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016364
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,0001016365,517.5,210525,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016365
