supplier_code,supplier_name,date,inv_reference,chq_reference,amount,inv_normalized,chq_normalized
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-03,0001020463,47024,86503.46,1020463,47024
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-04,0001020475,47025,37141.48,1020475,47025
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-09,0001020481,47391,3640.14,1020481,47391
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-03-06,0001021297,51642,5190.2,1021297,51642
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-04-09,0001021461,52423,15200.61,1021461,52423
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-06-12,0001021889,54652,5100.2,1021889,54652
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2025-06-26,0001022010,55083,2590.1,1022010,55083
145145,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-03-26,0001021411,52362,6900.0,1021411,52362
102652,KLERKSDORP RECORD,2024-07-04,0001020276,44983,27627.6,1020276,44983
102652,KLERKSDORP RECORD,2024-07-08,0001020290,44984,11040.0,1020290,44984
102652,KLERKSDORP RECORD,2024-10-29,0001020606,47997,6670.0,1020606,47997
102652,KLERKSDORP RECORD,2024-12-10,0001020826,49189,25208.0,1020826,49189
102652,KLERKSDORP RECORD,2025-01-28,0001021049,50696,9573.75,1021049,50696
102652,KLERKSDORP RECORD,2025-02-05,0001021109,51017,16675.0,1021109,51017
102652,KLERKSDORP RECORD,2025-02-28,0001021268,51551,26680.0,1021268,51551
102652,KLERKSDORP RECORD,2025-04-04,0001021430,52357,6670.0,1021430,52357
102652,KLERKSDORP RECORD,2025-04-25,0001021571,53540,28014.0,1021571,53540
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2022-08-15,0001015036,28619,199000.0,1015036,28619
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2022-11-30,0001015978,31294,29994.0,1015978,31294
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-03-23,0001016906,33680,13934.18,1016906,33680
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-09-02,0001018168,37752,57678.87,1018168,37752
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-09-29,0001018326,38469,306600.0,1018326,38469
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-10-13,0001018419,38615,57747.4,1018419,38615
840062,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,2023-11-07,0001018584,39142,20997.77,1018584,39142
