item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
224688,DIRABOTLE PROJECTS (PTY) LTD,REPAIR AND MAINTENANCE,GRN,376,2311.0,6.15,,
224688,ELEGANT LINE TRADING 785 CC,REPAIR AND MAINTENANCE,GRN,320,525.0,1.64,,
T000019079,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,TYRE,GRN,204,658.0,3.23,,
269086,E.K. CONSTRUCTION AND ALL GENERAL TRADING,PLANT HIRE,GRN,191,25828.0,135.23,,
P000015061,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,PUNCTURE REPAIR,GRN,133,143.0,1.08,,
0000123458,M EBERSOHN TRUCK AND DIESEL CC               L,repair rear lower body panel:,GRN,113,113.0,1.0,,
224688,TSEKGO PROJECTS CONSTRUCTION CC,REPAIR AND MAINTENANCE,GRN,111,115.0,1.04,,
S000018016,STILFONTEIN SPARES,SERVICE,GRN,110,123.0,1.12,,
130358,MAMOKOMANE FUNERAL PARLOUR,PAUPER FUNERAL,GRN,108,108.0,1.0,,
0000123458,JAM R ENGINEERING WORKS,repair rear lower body panel:,GRN,100,100.0,1.0,,
130358,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,PAUPER FUNERAL,GRN,89,89.0,1.0,,
269086,KHUWAIT GROUP OF COMPANIES,PLANT HIRE,GRN,80,9930.0,124.12,,
B000000099,BATTERY CENTRE,BATTERY,GRN,77,98.0,1.27,,
130358,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,PAUPER FUNERAL,GRN,74,74.0,1.0,,
0000123458,BOLEKANO BUILDING CONTRACTORS,repair rear lower body panel:,GRN,70,70.0,1.0,,
0000123458,RIBESRI GENARAL TRADING,repair rear lower body panel:,GRN,63,63.0,1.0,,
0000123458,CREATIVE FLEET SOLUTION,repair rear lower body panel:,GRN,63,63.0,1.0,,
169221,JAM R ENGINEERING WORKS,REPAIRS,GRN,61,62.0,1.02,,
224688,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,REPAIR AND MAINTENANCE,GRN,56,267.0,4.77,,
S000018016,ORANJE TOYOTA,SERVICE,GRN,53,53.0,1.0,,
B000000099,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,BATTERY,GRN,49,65.0,1.33,,
S000018016,NTT NISSAN KLERKSDORP,SERVICE,GRN,47,47.0,1.0,,
P000015009,REMMOGO RETLOTLEGEILE HOLDINGS AND TRADINGS(PTY)LT,PAUPER BURIAL,GRN,43,43.0,1.0,,
269086,HETANI TRADING ENTERPRISE (PTY) LTD,PLANT HIRE,GRN,43,7125.0,165.7,,
S000018016,RIBESRI GENARAL TRADING,SERVICE,GRN,43,43.0,1.0,,
169221,CREATIVE FLEET SOLUTION,REPAIRS,GRN,40,40.0,1.0,,
170552,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,37,5685.0,153.65,,
P000015009,MOJALEFA PHOOFOLO FUNERAL HOME (PTY) LTD,PAUPER BURIAL,GRN,36,36.0,1.0,,
269086,M EBERSOHN TRUCK AND DIESEL CC               L,PLANT HIRE,GRN,36,1197.0,33.25,,
N000013009,KLERKSDORP RECORD,NOTICE,GRN,35,35.0,1.0,,
P000015009,MAMOKOMANE FUNERAL PARLOUR,PAUPER BURIAL,GRN,33,33.0,1.0,,
S000018016,WESTVAAL DELTA,SERVICE,GRN,32,32.0,1.0,,
224688,ELECTRICIVIL TRADING (PTY) LTD,REPAIR AND MAINTENANCE,GRN,31,31.0,1.0,,
P000015061,KHUWAIT GROUP OF COMPANIES,PUNCTURE REPAIR,GRN,29,30.0,1.03,,
169221,M EBERSOHN TRUCK AND DIESEL CC               L,REPAIRS,GRN,29,29.0,1.0,,
EXCESS,IMPALA PANEL BEATERS,excess payable for replacement,GRN,28,28.0,1.0,,
169221,EARTHMOVING EQUIPMENT CC,REPAIRS,GRN,28,28.0,1.0,,
169221,RIBESRI GENARAL TRADING,REPAIRS,GRN,27,27.0,1.0,,
T000019079,KHUWAIT GROUP OF COMPANIES,TYRE,GRN,27,80.0,2.96,,
169221,STILFONTEIN SPARES,REPAIRS,GRN,27,27.0,1.0,,
130358,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),PAUPER FUNERAL,GRN,26,26.0,1.0,,
269086,SWAMDLHA TRADING AND PROJECTS,PLANT HIRE,GRN,26,790.0,30.38,,
REPAIR,DIRABOTLE PROJECTS (PTY) LTD,repair and maintanance,GRN,25,30.0,1.2,,
S000018016,LAUBSTAR NW T/A LAUBSTAR FLEET SERVICES,SERVICE,GRN,24,24.0,1.0,,
S000018016,KHUWAIT GROUP OF COMPANIES,SERVICE,GRN,23,661.0,28.74,,
224688,RHUONE PROJECTS AND PLANT HIRE,REPAIR AND MAINTENANCE,GRN,23,26.0,1.13,,
169221,BOLEKANO BUILDING CONTRACTORS,REPAIRS,GRN,23,23.0,1.0,,
144874,GMHM CONSTRUCTIONS & PROJECT 47,parrafin,GRN,21,86928.0,4139.43,,
224688,GREENFORD ENGINEERING CONSTRUCTION,REPAIR AND MAINTENANCE,GRN,20,20.0,1.0,,
269086,DREAMFINDER TRADING & PROJECT 115 CC,PLANT HIRE,GRN,20,1545.0,77.25,,
R221691,ELEGANT LINE TRADING 785 CC,REPAIR & MAINTAIN HIGH MAST LI,GRN,18,18.0,1.0,,
169221,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,REPAIRS,GRN,18,30.0,1.67,,
269086,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,PLANT HIRE,GRN,18,3209.0,178.28,,
204591,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,18,2785.0,154.72,,
269086,BOLEKANO BUILDING CONTRACTORS,PLANT HIRE,GRN,18,25.0,1.39,,
138270,SENNES GENERAL TRADING,SUPPLY AND DELIVERY,GRN,16,16.0,1.0,,
269086,MATLOSANA LANT HIRE,PLANT HIRE,GRN,16,55.0,3.44,,
T000019079,RIBESRI GENARAL TRADING,TYRE,GRN,16,55.0,3.44,,
S000018016,CREATIVE FLEET SOLUTION,SERVICE,GRN,16,16.0,1.0,,
S000018016,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,SERVICE,GRN,16,28.0,1.75,,
EXCESS,BLAQ.M,excess payable for replacement,GRN,15,15.0,1.0,,
H000007036,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRING OF A TIPPER TRUCK,GRN,15,587.0,39.13,,
169221,KHUWAIT GROUP OF COMPANIES,REPAIRS,GRN,14,14.0,1.0,,
500001,NL SUPPLIERS AND PROJECTS,ASPHALT PREMIX,GRN,14,49070.0,3505.0,,
224688,TSK RESOURCES,REPAIR AND MAINTENANCE,GRN,14,15.0,1.07,,
269086,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,PLANT HIRE,GRN,14,2808.0,200.57,,
S000018016,EARTHMOVING EQUIPMENT CC,SERVICE,GRN,14,14.0,1.0,,
241903,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,SEWER BLOCKAGES,GRN,14,14.0,1.0,,
H000007000,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRING OF TLB,GRN,14,1618.0,115.57,,
159136,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,REPLACE,GRN,12,22.0,1.83,,
256482,ELEGANT LINE TRADING 785 CC,HIGH MAST,GRN,12,12.0,1.0,,
T000019079,KGETHOGOLO TRADING AND PROJECTS (PTY) LTD,TYRE,GRN,11,50.0,4.55,,
215231,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,11,1141.0,103.73,,
S000018016,JAM R ENGINEERING WORKS,SERVICE,GRN,11,11.0,1.0,,
S000018016,HYDRAULIC 2000,SERVICE,GRN,11,11.0,1.0,,
126696,GREENFORD ENGINEERING CONSTRUCTION,REPAIR,GRN,11,11.0,1.0,,
EXCESS,SILVEX 93 CC/KARSTEN PANEELKLOPERS,excess payable for replacement,GRN,11,11.0,1.0,,
126696,RIBESRI GENARAL TRADING,REPAIR,GRN,11,11.0,1.0,,
144742,TSK RESOURCES,repairs of pallet jacks km35,GRN,10,18.0,1.8,,
173995,NTT NISSAN KLERKSDORP,motor vehicle,GRN,10,10.0,1.0,,
269086,VARIEGATED PTY LTD,PLANT HIRE,GRN,10,18.0,1.8,,
REPAIR,BOLEKANO BUILDING CONTRACTORS,repair and maintanance,GRN,10,10.0,1.0,,
S000018016,FIRE RAIDERS (PTY) LTD,SERVICE,GRN,10,10.0,1.0,,
126696,TSEKGO PROJECTS CONSTRUCTION CC,REPAIR,GRN,10,17.0,1.7,,
189569,RULAGANYANG TRADING ENTERPRISE,BRANDING,GRN,9,11.0,1.22,,
S000018016,E.K. CONSTRUCTION AND ALL GENERAL TRADING,SERVICE,GRN,9,1923.0,213.67,,
144449,DIRABOTLE PROJECTS (PTY) LTD,"PULLING, STRINGING AND OF MV",GRN,9,95.0,10.56,,
144448,DIRABOTLE PROJECTS (PTY) LTD,mv cable joint XLEP,GRN,8,12.0,1.5,,
269086,VNPM CONSTRUCTION  CC,PLANT HIRE,GRN,8,448.0,56.0,,
167226,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRE OF WATER TANKER,GRN,8,3246.0,405.75,,
H000007000,REABETSWE BOPHELO TRADING ENTERPRISE,HIRING OF TLB,GRN,8,770.0,96.25,,
REPAIR,RIBESRI GENARAL TRADING,repair and maintanance,GRN,8,8.0,1.0,,
REP & MAIN,TSK RESOURCES,repair and maintanance,GRN,8,8.0,1.0,,
REPAIR,M EBERSOHN TRUCK AND DIESEL CC               L,repair and maintanance,GRN,8,8.0,1.0,,
S000018016,M EBERSOHN TRUCK AND DIESEL CC               L,SERVICE,GRN,8,8.0,1.0,,
REPAIRS,KLERKSDORP PANEL BEATERS & SPRAY PAINTERS,repair council property,GRN,8,8.0,1.0,,
B000001148,STILFONTEIN SPARES,BRAKES REPAIR,GRN,8,8.0,1.0,,
224697,TSEKGO PROJECTS CONSTRUCTION CC,REPAIR,GRN,8,10.0,1.25,,
N000013009,GOVERNMENT PRINTING WORKS - PRETORIA,NOTICE,GRN,8,40.0,5.0,,
REPAIR,TSEKGO PROJECTS CONSTRUCTION CC,repair and maintanance,GRN,8,8.0,1.0,,
269086,PICK UP TRADING AND PROJECTS,PLANT HIRE,GRN,8,217.0,27.12,,
275718,E.K. CONSTRUCTION AND ALL GENERAL TRADING,hire,GRN,8,770.0,96.25,,
138270,MAPANE PROJECTS & ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,8,107.0,13.38,,
S000018016,KLERKSDORP VOLKSWAGEN,SERVICE,GRN,8,8.0,1.0,,
269086,KATLEMBA (PTY) LTD,PLANT HIRE,GRN,7,2408.0,344.0,,
288614,GAMES & PC SOUND CC,TECHNICAL,GRN,7,11.0,1.57,,
H000007000,M EBERSOHN TRUCK AND DIESEL CC               L,HIRING OF TLB,GRN,7,1619.0,231.29,,
169221,ZM TYRES (PTY) LTD,REPAIRS,GRN,7,20.0,2.86,,
138270,K P DEVELOPMENTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,7,1512.0,216.0,,
161487,GAMES & PC SOUND CC,INSTALLATION,GRN,7,8.0,1.14,,
H000007022,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,HIRE CRANE TRUCK,GRN,7,1512.0,216.0,,
288614,4TFIRED INVESTMENTS (PTY) LTD,TECHNICAL,GRN,7,7.0,1.0,,
H000007000,KHUWAIT GROUP OF COMPANIES,HIRING OF TLB,GRN,7,207.0,29.57,,
269086,ELEGANT LINE TRADING 785 CC,PLANT HIRE,GRN,7,860.0,122.86,,
169221,ELEGANT LINE TRADING 785 CC,REPAIRS,GRN,7,7.0,1.0,,
0000123458,KHUWAIT GROUP OF COMPANIES,repair rear lower body panel:,GRN,7,7.0,1.0,,
H000007000,PICK UP TRADING AND PROJECTS,HIRING OF TLB,GRN,7,212.0,30.29,,
274875,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,SEWER REPAIRS,GRN,7,7.0,1.0,,
263372,KLERKSDORP RECORD,TENDER NOTICE,GRN,6,6.0,1.0,,
SUPPLY,DIRABOTLE PROJECTS (PTY) LTD,supply and delivery,GRN,6,6.0,1.0,,
106232,AGAH MARKETING AND PROJECTS,PAPER ROLLS: THERMAL ROLLS,GRN,6,59000.0,9833.33,,
138270,MOTSE CONSULTANCY,SUPPLY AND DELIVERY,GRN,6,6.0,1.0,,
185807,ELECTRICIVIL TRADING (PTY) LTD,REPAIRS AND MAINTENANCE,GRN,6,6.0,1.0,,
0000123458,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,repair rear lower body panel:,GRN,6,6.0,1.0,,
105937,AGAH MARKETING AND PROJECTS,PENS BALL POINT BLUE RED & BLA,GRN,6,31500.0,5250.0,,
161104,KLERKSDORP RECORD,advert,GRN,6,7.0,1.17,,
SERVICE,KLERKSDORP RECORD,aircon services,GRN,6,6.0,1.0,,
144874,LESEDI CIVIL CONSTRUCTION,parrafin,GRN,6,28950.0,4825.0,,
123428,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,SUPPLY,GRN,6,6.0,1.0,,
S000018016,BOLEKANO BUILDING CONTRACTORS,SERVICE,GRN,6,6.0,1.0,,
144179,DANYI TELECOMS CONVERGED COMMUNICATIONS (HYMAX),technical support,GRN,6,6.0,1.0,,
288614,GLOBAL SOLUTIONS GROUP,TECHNICAL,GRN,6,15.0,2.5,,
C000002004,DIRABOTLE PROJECTS (PTY) LTD,CABLE,GRN,6,143.0,23.83,,
169221,GREENFORD ENGINEERING CONSTRUCTION,REPAIRS,GRN,6,6.0,1.0,,
138270,PHAKAMANI TRADER,SUPPLY AND DELIVERY,GRN,6,605.0,100.83,,
270456,PRACTICON TRADING AND ENTERPRISE,blue overall 20/21,GRN,6,6481.0,1080.17,,
224688,REABETSWE BOPHELO TRADING ENTERPRISE,REPAIR AND MAINTENANCE,GRN,6,6.0,1.0,,
138270,BOKAO AMAHLE HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,6,399.0,66.5,,
T000019105,TSEKGO PROJECTS CONSTRUCTION CC,TRENCHING,GRN,6,21.0,3.5,,
170552,KHUWAIT GROUP OF COMPANIES,hire,GRN,5,401.0,80.2,,
138270,GMHM CONSTRUCTIONS & PROJECT 47,SUPPLY AND DELIVERY,GRN,5,19804.0,3960.8,,
169221,TSK RESOURCES,REPAIRS,GRN,5,12.0,2.4,,
288614,KAMOTSUMI INTERNET CAFE,TECHNICAL,GRN,5,5.0,1.0,,
144179,KAMOTSUMI INTERNET CAFE,technical support,GRN,5,5.0,1.0,,
216206,KLERKSDORP RECORD,NOTICE,GRN,5,5.0,1.0,,
H000007000,NL SUPPLIERS AND PROJECTS,HIRING OF TLB,GRN,5,35.0,7.0,,
118448,DIRABOTLE PROJECTS (PTY) LTD,CABLE SIZE 95MM,GRN,5,56.0,11.2,,
204591,DREAMFINDER TRADING & PROJECT 115 CC,hire,GRN,5,1051.0,210.2,,
174443,FRESHMARK SYSTEMS (PTY) LTD,SOFTWARE MAINTENANCE AND PICK,GRN,5,5.0,1.0,,
105325,K P DEVELOPMENTS (PTY) LTD,PAPER ROTATRIM BOND 80G WHITE,GRN,5,2490.0,498.0,,
144742,GREENFORD ENGINEERING CONSTRUCTION,repairs of pallet jacks km35,GRN,5,5.0,1.0,,
269086,REABETSWE BOPHELO TRADING ENTERPRISE,PLANT HIRE,GRN,5,344.0,68.8,,
209451,MAGIDI REVENUE PROTECTION SERVICES (PTY)LTD,METER SPLIT-PRE-PAID S/P,GRN,5,4400.0,880.0,,
T000019079,ZM TYRES (PTY) LTD,TYRE,GRN,5,17.0,3.4,,
0000123458,EARTHMOVING EQUIPMENT CC,repair rear lower body panel:,GRN,5,5.0,1.0,,
247015,AT JOY COMMUNICATIONS AND OFFICE AUTOMATION,EZ3 25MMWATERMETER 25/25 DW780,GRN,5,1300.0,260.0,,
H000007032,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRING OF A GRADER,GRN,5,340.0,68.0,,
203660,LEUNGO LA GAGO (PTY) LTD,FITTING LED 200 WATTS,GRN,5,406.0,81.2,,
REPLACE,GAMES & PC SOUND CC,replace stolen property,GRN,5,5.0,1.0,,
123462,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,SERVICE,GRN,5,5.0,1.0,,
169221,LAUBSTAR NW T/A LAUBSTAR FLEET SERVICES,REPAIRS,GRN,5,5.0,1.0,,
129445,AGAH MARKETING AND PROJECTS,HP 237A TONER,GRN,5,55.0,11.0,,
268344,PICK UP TRADING AND PROJECTS,HIRE OF MOTORISED WATER TANKER,GRN,5,4933.0,986.6,,
138270,KHANYAENTLE TRADING ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,5,5.0,1.0,,
167226,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,HIRE OF WATER TANKER,GRN,5,1120.0,224.0,,
169221,WESTVAAL DELTA,REPAIRS,GRN,5,5.0,1.0,,
H000007000,LEGORE SECURITY AND PLANT HIRE,HIRING OF TLB,GRN,5,424.0,84.8,,
189569,NTEMI TRADING ENTERPRISE,BRANDING,GRN,5,5.0,1.0,,
H000007036,KHUWAIT GROUP OF COMPANIES,HIRING OF A TIPPER TRUCK,GRN,5,507.0,101.4,,
EXCESS,TLOTLO MANQOBA SOLUTIONS (PTY) LTD,excess payable for replacement,GRN,4,5.0,1.25,,
EXCESS,KE TIRO TRADING AND PROJECTS (PTY) LTD,excess payable for replacement,GRN,4,4.0,1.0,,
123428,IAN DICKIE & CO,SUPPLY,GRN,4,276.0,69.0,,
169221,REABETSWE BOPHELO TRADING ENTERPRISE,REPAIRS,GRN,4,9.0,2.25,,
210713,NATIONAL BRAKE TESTING SERVICES PTY LTD,CALIBRATION,GRN,4,4.0,1.0,,
S000018016,ORANJE TOYOTA KLERKSDORP,SERVICE,GRN,4,4.0,1.0,,
170552,MATLOSANA LANT HIRE,hire,GRN,4,8.0,2.0,,
H000007036,REABETSWE BOPHELO TRADING ENTERPRISE,HIRING OF A TIPPER TRUCK,GRN,4,489.0,122.25,,
123428,CARPET WORX,SUPPLY,GRN,4,4.0,1.0,,
EXCESS,BALENI CONTRACTORS (PTY) LTD,excess payable for replacement,GRN,4,4.0,1.0,,
S000018016,BIG 2 CIVILS TA UD TRU CKS GBS,SERVICE,GRN,4,4.0,1.0,,
S000018016,ROBINSON AUTO,SERVICE,GRN,4,4.0,1.0,,
119310,DANYI TELECOMS CONVERGED COMMUNICATIONS (HYMAX),LABOUR,GRN,4,4.0,1.0,,
S000018016,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,SERVICE,GRN,4,961.0,240.25,,
H000007036,M EBERSOHN TRUCK AND DIESEL CC               L,HIRING OF A TIPPER TRUCK,GRN,4,180.0,45.0,,
S000018016,CARGO MOTORS-KLERKSDORP,SERVICE,GRN,4,4.0,1.0,,
S000018017,STILFONTEIN SPARES,SERVICE AND REPAIR,GRN,4,4.0,1.0,,
208965,N T K MINING SUPPLIERS,MINISUB 315 KVA,GRN,4,4.0,1.0,,
247014,AT JOY COMMUNICATIONS AND OFFICE AUTOMATION,EZ3WATERMETERS-20/20MM DW7700,GRN,4,1100.0,275.0,,
138270,REATLIGILEOWARONA PROJECTS,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
268344,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRE OF MOTORISED WATER TANKER,GRN,4,5200.0,1300.0,,
138270,GALEKILE QHENA TRADING,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
T000019079,NOEMIA TRADING,TYRE,GRN,4,14.0,3.5,,
126696,TSK RESOURCES,REPAIR,GRN,4,4.0,1.0,,
169221,ELECTRICIVIL TRADING (PTY) LTD,REPAIRS,GRN,4,4.0,1.0,,
H000007000,HETANI TRADING ENTERPRISE (PTY) LTD,HIRING OF TLB,GRN,4,20.0,5.0,,
201448,SENNES GENERAL TRADING,BREAKERS TRIP.POLE 250A 25KA,GRN,4,130.0,32.5,,
H000007000,KHABOKEDI WASTE MANAGEMENT (PTY) LTD,HIRING OF TLB,GRN,4,25.0,6.25,,
510005,REDBINDI INVESTMENT (PTY) LTD,BLOCK60mm PAVING BLOCKS GREY,GRN,4,4000.0,1000.0,,
TOTALREPS,MAPANE PROJECTS & ENTERPRISE (PTY) LTD,repair council property,GRN,4,4.0,1.0,,
TOTALREPS,TEFELLO HOLDINGS (PTY) LTD,repair council property,GRN,4,4.0,1.0,,
123428,REATLIGILEOWARONA PROJECTS,SUPPLY,GRN,4,41.0,10.25,,
214841,RHUONE PROJECTS AND PLANT HIRE,CABLE ABC_3X120 70 CONDUCTER,GRN,4,30000.0,7500.0,,
169221,BATTERY CENTRE,REPAIRS,GRN,4,4.0,1.0,,
212857,N T K MINING SUPPLIERS,TRANSFORMER 200 KVA,GRN,4,9.0,2.25,,
EXCESS,GAMES & PC SOUND CC,excess payable for replacement,GRN,4,4.0,1.0,,
138270,LEBEOANA CONSTRUCTION AND GENERAL SUPPLIERS,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
N000013006,GAMES & PC SOUND CC,NETWORK CABLE,GRN,4,5.0,1.25,,
H000007000,VARIEGATED PTY LTD,HIRING OF TLB,GRN,4,206.0,51.5,,
0000123458,KROONSTAD TREKKER DIENSTE CC,repair rear lower body panel:,GRN,4,4.0,1.0,,
273230,T.J.T.K. TRADING ENTERPRISE,pine gel,GRN,4,6500.0,1625.0,,
0000123458,BIG 2 CIVILS TA UD TRU CKS GBS,repair rear lower body panel:,GRN,4,4.0,1.0,,
138270,M AND K LAUNDRY SERVICE (PTY) LTD,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
B000001148,NTT NISSAN KLERKSDORP,BRAKES REPAIR,GRN,4,4.0,1.0,,
138270,BONAFIDE AFRICA CONSULTING,SUPPLY AND DELIVERY,GRN,4,603.0,150.75,,
138270,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
105368,K P DEVELOPMENTS (PTY) LTD,BLOU 70 GSM TYPEK BOND,GRN,4,1025.0,256.25,,
H000007036,INKOKHELI BUSINESS ENTERPRISE CC,HIRING OF A TIPPER TRUCK,GRN,4,338.0,84.5,,
177443,E.K. CONSTRUCTION AND ALL GENERAL TRADING,HIRE OF FRONT END LOADER,GRN,4,658.0,164.5,,
177444,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,HIRE OF TIPPER TRUCK,GRN,4,1280.0,320.0,,
177444,KHUWAIT GROUP OF COMPANIES,HIRE OF TIPPER TRUCK,GRN,4,22.0,5.5,,
180866,GAMES & PC SOUND CC,LAPTOP,GRN,4,4.0,1.0,,
EXCESS ADD,BALENI CONTRACTORS (PTY) LTD,additional excess,GRN,4,4.0,1.0,,
EXCESS ADD,CONLWAZI TRADING ENTERPRISE,additional excess,GRN,4,4.0,1.0,,
EXCESS,K-BIZO HOLDINGS (PTY) LTD,excess payable for replacement,GRN,4,4.0,1.0,,
REPLACE,KATLEGO OLERATO TRADING AND PROJECTS (PTY) LTD,replace stolen property,GRN,4,4.0,1.0,,
224697,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,REPAIR,GRN,4,4.0,1.0,,
REPLACE,GLASS NORTH WEST,replace stolen property,GRN,4,4.0,1.0,,
224697,ELEGANT LINE TRADING 785 CC,REPAIR,GRN,4,4.0,1.0,,
254993,GAMES & PC SOUND CC,STATIONERY,GRN,4,5.0,1.25,,
138270,ZEMBELETHU,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
EXCESS,CONLWAZI TRADING ENTERPRISE,excess payable for replacement,GRN,4,4.0,1.0,,
126696,ELECTRICIVIL TRADING (PTY) LTD,REPAIR,GRN,4,4.0,1.0,,
126696,GAMES & PC SOUND CC,REPAIR,GRN,4,8.0,2.0,,
SUPPLY,MAPANE PROJECTS & ENTERPRISE (PTY) LTD,supply and delivery,GRN,4,4.0,1.0,,
224688,SPHEKO PROJECT PTY LTD,REPAIR AND MAINTENANCE,GRN,4,4.0,1.0,,
S000018016,BRYCE HALL MOTORS(PTY)LTD,SERVICE,GRN,4,4.0,1.0,,
REPLACE,AUTOMOTOR TRAFFIC SIGNAL CO (PTY) LTD,replace stolen property,GRN,4,4.0,1.0,,
SUPPLY,WORKWEAR DEPOT,supply and delivery,GRN,4,4.0,1.0,,
REPAIR,THOMSENS BREAKDOWN SERVICES,repair and maintanance,GRN,4,4.0,1.0,,
138270,BODIRELWA (PTY) LTD,SUPPLY AND DELIVERY,GRN,4,4.0,1.0,,
254993,@ OFFICE WORLD,STATIONERY,GRN,4,4.0,1.0,,
REPLACE000,AUTOMOTOR TRAFFIC SIGNAL CO (PTY) LTD,replace stolen property,GRN,3,3.0,1.0,,
203726,FURAHINI ENTERPRISE,FITTINGS MV HRL44/125W,GRN,3,825.0,275.0,,
REPLACE,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,replace stolen property,GRN,3,3.0,1.0,,
273147,MTHATOS TRADING AND PROJECTS (PTY) LTD,SOAP SUNLIGHT,GRN,3,14288.0,4762.67,,
126696,NTT NISSAN KLERKSDORP,REPAIR,GRN,3,3.0,1.0,,
158448,GAMES & PC SOUND CC,NETWORK REPAIR CABLE,GRN,3,3.0,1.0,,
H000007000,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,HIRING OF TLB,GRN,3,173.0,57.67,,
REPAIR,TSK RESOURCES,repair and maintanance,GRN,3,3.0,1.0,,
H000007000,BOLEKANO BUILDING CONTRACTORS,HIRING OF TLB,GRN,3,178.0,59.33,,
212857,TSIKAKU HOLDINGS,TRANSFORMER 200 KVA,GRN,3,4.0,1.33,,
153343,TOYOTA SOUTH AFRICA MOTORS,service,GRN,3,10.0,3.33,,
REPAIRS,TLOTLO MANQOBA SOLUTIONS (PTY) LTD,repair council property,GRN,3,3.0,1.0,,
H000007000,KATLEMBA (PTY) LTD,HIRING OF TLB,GRN,3,26.0,8.67,,
H000007032,KHUWAIT GROUP OF COMPANIES,HIRING OF A GRADER,GRN,3,337.0,112.33,,
H000007000,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,HIRING OF TLB,GRN,3,648.0,216.0,,
H000007000,MOREKI DISTRIBUTORS/TSEKGO PROJECTS JV,HIRING OF TLB,GRN,3,26.0,8.67,,
151594,RONMAR OFFICE EQUIPMENT,FURNITURE,GRN,3,22.0,7.33,,
H000007032,HETANI TRADING ENTERPRISE (PTY) LTD,HIRING OF A GRADER,GRN,3,321.0,107.0,,
H000007000,SWAMDLHA TRADING AND PROJECTS,HIRING OF TLB,GRN,3,27.0,9.0,,
H000007022,ELEGANT LINE TRADING 785 CC,HIRE CRANE TRUCK,GRN,3,620.0,206.67,,
126696,ORANJE TOYOTA,REPAIR,GRN,3,3.0,1.0,,
H000007032,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,HIRING OF A GRADER,GRN,3,329.0,109.67,,
273032,MTHATOS TRADING AND PROJECTS (PTY) LTD,SOAP LUX BODY SOAP 125G,GRN,3,12960.0,4320.0,,
REPLACE,BALENI CONTRACTORS (PTY) LTD,replace stolen property,GRN,3,3.0,1.0,,
REPLACE,TD MONARE HOLDINGS,replace stolen property,GRN,3,3.0,1.0,,
EXCESS,MAPANE PROJECTS & ENTERPRISE (PTY) LTD,excess payable for replacement,GRN,3,3.0,1.0,,
EXCESS,MZWANTZI TRADING ENTERPRISE,excess payable for replacement,GRN,3,3.0,1.0,,
EXCESS,POPZITO TRADING (PTY) LTD,excess payable for replacement,GRN,3,3.0,1.0,,
