item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
142787,RONMAR OFFICE EQUIPMENT,WHITEBOARD ERASER,GRN,1,10.0,10.0,,
142794,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,DIGGING,GRN,1,1.0,1.0,,
143142,SUNDAY KIT UNIFORM SUPPLIES CC,BUNNY JACKETS-LIME/MEDIUM,GRN,1,9.0,9.0,,
143355,DIRABOTLE PROJECTS (PTY) LTD,digging,GRN,1,35.0,35.0,,
147084,MOILOA VORTEX SOLUTIONS (PTY) LTD,open lock,GRN,1,1000.0,1000.0,,
147087,RHUONE PROJECTS AND PLANT HIRE,plug colour snapper 3pin,GRN,1,1.0,1.0,,
147716,WE2 SONKE TRADING (PTY) LTD,shirt,GRN,1,3.0,3.0,,
147760,KHAHLISO GUEST HOUSE (PTY) LTD,ACCOMODATION,GRN,1,1.0,1.0,,
147760,KINZ AND QINZ,ACCOMODATION,GRN,1,1.0,1.0,,
147760,NATIONAL BRAKE TESTING SERVICES PTY LTD,ACCOMODATION,GRN,1,1.0,1.0,,
148020,DULUX PAINT & PAPER,DEKRO,GRN,1,13.0,13.0,,
148020,KWALTA PAINTS,DEKRO,GRN,1,8.0,8.0,,
148031,GREENFORD ENGINEERING CONSTRUCTION,repairs of pallet jacks km34,GRN,1,1.0,1.0,,
148031,SPHEKO PROJECT PTY LTD,repairs of pallet jacks km34,GRN,1,1.0,1.0,,
149418,SUNDAY KIT UNIFORM SUPPLIES CC,SHIRT,GRN,1,340.0,340.0,,
149418,WORKWEAR DEPOT,SHIRT,GRN,1,6.0,6.0,,
149419,WE2 SONKE TRADING (PTY) LTD,trousers,GRN,1,3.0,3.0,,
149731,BATHO BAGAGWE IT CC,power bridge rf shield,GRN,1,3.0,3.0,,
150220,OTIS (PTY) LTD,service oki macroline mx,GRN,1,1.0,1.0,,
151348,DULUX PAINT & PAPER,roadmarking paint yellow,GRN,1,5.0,5.0,,
151403,KASIMOVEMENTS PROJECT AND CONSTRUCTION,NAME TAGS :PROCUREMENT,GRN,1,4.0,4.0,,
151594,QUICKPRO EXPRESS,FURNITURE,GRN,1,1.0,1.0,,
151739,KASIMOVEMENTS PROJECT AND CONSTRUCTION,MULTI,GRN,1,10.0,10.0,,
146432,RAYPOWER TRADING PTY LTD,water 500ml,GRN,1,250.0,250.0,,
146432,LETSHABO DEVELOPERS (PTY) LTD,water 500ml,GRN,1,300.0,300.0,,
146399,FANISWA TRADING AND ENTERPRISE (PTY) LTD,dulux tint egg en,GRN,1,24.0,24.0,,
144742,M EBERSOHN TRUCK AND DIESEL CC               L,repairs of pallet jacks km35,GRN,1,1.0,1.0,,
143484,KATLEGO OLERATO TRADING AND PROJECTS (PTY) LTD,PLUMBING MATERIAL,GRN,1,1.0,1.0,,
143754,CONQUEST CHEMICALS,industrial mop,GRN,1,15.0,15.0,,
143850,WORLD TELECOM AND DATA,FRAME 38X38X2MM & 16MM ROUND B,GRN,1,2.0,2.0,,
143860,CONQUEST CHEMICALS,MOP HEADS 400G,GRN,1,40.0,40.0,,
144179,GIZABO IT SOLUTIONS CC,technical support,GRN,1,1.0,1.0,,
144742,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,repairs of pallet jacks km35,GRN,1,1.0,1.0,,
144742,DIRABOTLE PROJECTS (PTY) LTD,repairs of pallet jacks km35,GRN,1,1.0,1.0,,
144742,GREEN POINT SUPPY AND DELIVERY,repairs of pallet jacks km35,GRN,1,1.0,1.0,,
144742,MZH HOLDINGS (PTY) LTD,repairs of pallet jacks km35,GRN,1,4.0,4.0,,
146341,DULUX PAINT & PAPER,rod marking tp 28 black,GRN,1,3.0,3.0,,
145369,MZH HOLDINGS (PTY) LTD,REPAIR PALISADE FENCE,GRN,1,1.0,1.0,,
145503,WE2 SONKE TRADING (PTY) LTD,shoes,GRN,1,2.0,2.0,,
145920,FORD MOTOR COMPANY OF SOUTHERN AFRICA(MANUFACTURIN,FORD RANGER,GRN,1,1.0,1.0,,
146045,ORANJE TOYOTA,BRAKES,GRN,1,1.0,1.0,,
146195,BATHO BAGAGWE IT CC,usb cable,GRN,1,2.0,2.0,,
146217,M EBERSOHN TRUCK AND DIESEL CC               L,tower laser labels,GRN,1,1.0,1.0,,
146217,RIBESRI GENARAL TRADING,tower laser labels,GRN,1,1.0,1.0,,
146252,DASH HOST (PTY) LTD,computer screen,GRN,1,39.0,39.0,,
138270,RULAGANYANG TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,RELETLOTLO TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
151822,SUNSET GLOBAL GROUP (PTY) LTD,RESEAL HOUSE,GRN,1,1.0,1.0,,
137873,KWALTA PAINTS,painting services,GRN,1,1.0,1.0,,
138270,APPELKIE MOKGOSI & DAUGHTERS PROJECT MANAGEMENT,SUPPLY AND DELIVERY,GRN,1,4.0,4.0,,
138270,B J M TRADING ENTERPRISE CC,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,BATHO BOTLHE,SUPPLY AND DELIVERY,GRN,1,60.0,60.0,,
138270,BENEA TECHNOLOGIES CC,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,BILLEARS PERPETUAL TRADING ENTERPRISE CC,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,BLITHEREN TRADING,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,BLOEM K TRADING ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,300.0,300.0,,
138270,BOKA-IPELO GEUST HOUSE,SUPPLY AND DELIVERY,GRN,1,104.0,104.0,,
138270,BOKATSHWA HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,BOLENG JWA BOPHELO,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,CANOPY LAND_KLERKSDORP CC,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
